city_name,city_name_normalized,station_count,primary_station,primary_uic_code,centroid_latitude,centroid_longitude,all_stations
Cavignac,cavignac,1,Cavignac,87491217,45.105163,-0.382243,Cavignac
Cazères,cazeres,1,Cazères,87611079,43.212834,1.083106,Cazères
Ceilhes,ceilhes,1,Ceilhes - Roqueredonde,87781542,43.8122656,3.1551583,Ceilhes - Roqueredonde
Cenon,cenon,1,Cenon,87581595,44.8563465,-0.5336487,Cenon
Cerbère,cerbere,1,Cerbère,87785006,42.4417732,3.1634033,Cerbère
Cercottes,cercottes,1,Cercottes,87543033,47.9861553,1.8849813,Cercottes
Cercy,cercy,1,Cercy-la-Tour,87696492,46.8578816,3.6452029,Cercy-la-Tour
Cergy Préfecture,cergy prefecture,1,Cergy Préfecture,87381905,49.03639,2.07982,Cergy Préfecture
Cergy Saint,cergy saint,1,Cergy Saint-Christophe,87382499,49.0496151,2.0343975,Cergy Saint-Christophe
Cergy le Haut,cergy le haut,1,Cergy le Haut,87382655,49.0484932,2.0118725,Cergy le Haut
Cerizay,cerizay,1,Cerizay,87487280,46.8176878,-0.6689931,Cerizay
Cernay (Haut,cernay (haut,1,Cernay (Haut-Rhin),87182410,47.802,7.1737,Cernay (Haut-Rhin)
Cernay (Val,cernay (val,1,Cernay (Val-d'Oise),87276063,48.98539,2.2568,Cernay (Val-d'Oise)
Cessieu,cessieu,1,Cessieu,87723452,45.5611596,5.3761179,Cessieu
Ceyzériat,ceyzeriat,1,Ceyzériat,87743302,46.1834877,5.3258417,Ceyzériat
Chabenet,chabenet,1,Chabenet,87597112,46.6265259,1.5076773,Chabenet
Chabris,chabris,1,Chabris,87576223,47.2549836,1.6459424,Chabris
Chagny,chagny,1,Chagny,87713578,46.907269,4.749682,Chagny
Chaingy Fourneaux Plage,chaingy fourneaux plage,1,Chaingy Fourneaux Plage,87574111,47.8770705,1.782422,Chaingy Fourneaux Plage
Chalais,chalais,1,Chalais,87583690,45.2708327,0.0435966,Chalais
Challans,challans,1,Challans,87481390,46.843962,-1.871879,Challans
Chalon,chalon,1,Chalon-sur-Saône,87725002,46.781612,4.843454,Chalon-sur-Saône
Chalonnes,chalonnes,1,Chalonnes-sur-Loire,87484204,47.34306,-0.74306,Chalonnes-sur-Loire
Chamalières,chamalieres,1,Chamalières-sur-Loire,87734731,45.2047385,3.9909202,Chamalières-sur-Loire
Chamarande,chamarande,1,Chamarande,87545152,48.514244,2.215854,Chamarande
Chambly,chambly,1,Chambly,87276725,49.16362,2.24048,Chambly
Chamborigaud,chamborigaud,1,Chamborigaud,87775221,44.3002429,3.9793332,Chamborigaud
Chambourg,chambourg,1,Chambourg-sur-Indre,87571463,47.1821629,0.9648363,Chambourg-sur-Indre
Chambéry,chambery,1,Chambéry - Challes-les-Eaux,87741009,45.571302,5.919547,Chambéry - Challes-les-Eaux
Chamelet,chamelet,1,Chamelet,87721829,45.9816414,4.5069346,Chamelet
Chamonix,chamonix,1,Chamonix-Mont-Blanc,87746784,45.92277,6.87363,Chamonix-Mont-Blanc
