uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87741256,Aiguebelle,aiguebelle,Aiguebelle,aiguebelle,45.543703,6.306737,
87741272,Argentine,argentine,Argentine,argentine,45.497151,6.314943,
87741280,Épierre - Saint-Léger,epierre - saint-leger,Épierre -,epierre -,45.457008,6.292486,
87741298,Les Chavannes-Saint-Rémy,les chavannes-saint-remy,Les Chavannes-Saint-Rémy,les chavannes-saint-remy,45.387608,6.275897,
87741306,Saint-Avre - La Chambre,saint-avre - la chambre,Saint-Avre - La Chambre,saint-avre - la chambre,45.35312,6.302867,
87741421,Aiguebelette-le-Lac,aiguebelette-le-lac,Aiguebelette-le-Lac,aiguebelette-le-lac,45.536323,5.813122,
87741439,Lépin-le-Lac - La Bauche,lepin-le-lac - la bauche,Lépin-le-Lac - La Bauche,lepin-le-lac - la bauche,45.541547,5.764584,
87741447,La Bridoire,la bridoire,La,la,45.53104,5.742902,
87741454,Saint-Béron - La Bridoire,saint-beron - la bridoire,Saint-Béron - La Bridoire,saint-beron - la bridoire,45.503939,5.731907,
87741462,Domessin-le-Bonnard,domessin-le-bonnard,Domessin-le-Bonnard,domessin-le-bonnard,45.524916,5.694931,
87741470,Pont-de-Beauvoisin,pont-de-beauvoisin,Pont-de-Beauvoisin,pont-de-beauvoisin,45.524597,5.680801,
87741496,Les Abrets - Fitilieu,les abrets - fitilieu,Les Abrets - Fitilieu,les abrets - fitilieu,45.54214,5.575473,
87741504,Virieu-le-Grand - Belley,virieu-le-grand - belley,Virieu-le-Grand - Belley,virieu-le-grand - belley,45.848323,5.65363,
87741611,Grésy-sur-Isère,gresy-sur-isere,Grésy-sur-Isère,gresy-sur-isere,45.594467,6.258838,
87741629,Frontenex,frontenex,Frontenex,frontenex,45.630568,6.314041,
87741645,Albertville,albertville,Albertville,albertville,45.672977,6.383167,
87741678,La Bathie,la bathie,La,la,45.630508,6.445101,
87741686,Cévins-échangeur,cevins-echangeur,Cévins-échangeur,cevins-echangeur,45.595002,6.446614,
87741694,Notre-Dame de Briançon,notre-dame de briancon,Notre-Dame de Briançon,notre-dame de briancon,45.539384,6.468855,
87741702,La Léchère les Bains Petit Coeur,la lechere les bains petit coeur,La,la,45.520481,6.484015,
87741710,Aigueblanche-Centre,aigueblanche-centre,Aigueblanche-Centre,aigueblanche-centre,45.501835,6.508605,
87741728,Moûtiers-Salins-Brides-les-B.,moutiers-salins-brides-les-b,Moûtiers-Salins-Brides-les-B.,moutiers-salins-brides-les-b,45.48647,6.531399,
87741769,Aime - La Plagne,aime - la plagne,Aime - La Plagne,aime - la plagne,45.554387,6.648614,
87741777,Landry,landry,Landry,landry,45.574213,6.733849,
87741793,Bourg-Saint-Maurice,bourg-saint-maurice,Bourg-Saint-Maurice,bourg-saint-maurice,45.619036,6.771273,
87742007,Modane,modane,Modane,modane,45.193555,6.659139,
87742015,Noirétable Place Passelière,noiretable place passeliere,Noirétable,noiretable,45.814254,3.768636,
87742056,Grenoble Cité Internationale,grenoble cite internationale,Grenoble,grenoble,45.195332,5.710879,
87742197,Schirmeck Cité Scolaire,schirmeck cite scolaire,Schirmeck,schirmeck,48.483402,7.231295,
87742221,Châlons-en-Champagne Marne,chalons-en-champagne marne,Châlons-en-Champagne Marne,chalons-en-champagne marne,48.957151,4.360092,
87742247,Auboué Centre,auboue centre,Auboué,auboue,49.210554,5.977673,
87742254,Hatrize Centre,hatrize centre,Hatrize,hatrize,49.192222,5.907748,
