origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87471003,87478073,Rennes,Dol-de-Bretagne,58,34,GTFS_TGV
87723197,87694109,Lyon Part Dieu,Le Creusot - Montceau-les-Mines - Montchanin TGV,58,40,GTFS_TGV
87781104,87781005,Narbonne,Béziers,57,14,GTFS_TGV
87571240,87575142,Saint-Pierre-des-Corps,Châtellerault,57,27,GTFS_TGV
87784009,87781104,Perpignan,Narbonne,57,35,GTFS_TGV
87571240,87391003,Saint-Pierre-des-Corps,Paris Montparnasse,56,63,GTFS_TGV
87773002,87773200,Montpellier Saint-Roch,Sète,56,14,GTFS_TGV
87742320,87741306,Saint-Jean-de-Maurienne Arvan,Saint-Avre - La Chambre,55,7,GTFS_TGV
87742361,87742320,Saint-Michel - Valloire,Saint-Jean-de-Maurienne Arvan,55,11,GTFS_TGV
87742007,87742361,Modane,Saint-Michel - Valloire,55,13,GTFS_TGV
87781005,87781278,Béziers,Agde,54,13,GTFS_TGV
87781278,87773200,Agde,Sète,54,13,GTFS_TGV
87741132,87746008,Aix-les-Bains le Revard,Annecy,54,29,GTFS_TGV
87476606,87471300,Vannes,Redon,54,24,GTFS_TGV
87765008,87318964,Avignon Centre,Avignon TGV,53,5,GTFS_TGV
87171926,87113001,Champagne-Ardenne TGV,Paris Est,52,42,GTFS_TGV
87391003,87575001,Paris Montparnasse,Poitiers,52,84,GTFS_TGV
87694109,87723197,Le Creusot - Montceau-les-Mines - Montchanin TGV,Lyon Part Dieu,51,41,GTFS_TGV
87478404,87391003,Laval,Paris Montparnasse,51,74,GTFS_TGV
87672006,87672253,Pau,Orthez,50,21,GTFS_TGV
87672253,87673202,Orthez,Dax,50,26,GTFS_TGV
87694109,87686006,Le Creusot - Montceau-les-Mines - Montchanin TGV,Paris Gare de Lyon,49,81,GTFS_TGV
87474338,87473181,Morlaix,Plouaret Trégor,49,15,GTFS_TGV
87473181,87473207,Plouaret Trégor,Guingamp,49,13,GTFS_TGV
87751008,87686006,Marseille Saint-Charles,Paris Gare de Lyon,49,185,GTFS_TGV
87476002,87476606,Lorient Bretagne Sud,Vannes,49,23,GTFS_TGV
87393702,87391003,Massy TGV,Paris Montparnasse,47,10,GTFS_TGV
87471300,87471003,Redon,Rennes,47,35,GTFS_TGV
87271494,87286005,Aéroport Charles de Gaulle 2 TGV,Lille Flandres,47,57,GTFS_TGV
87581009,87393702,Bordeaux Saint-Jean,Massy TGV,47,129,GTFS_TGV
87575001,87391003,Poitiers,Paris Montparnasse,46,85,GTFS_TGV
87481788,87481754,Le Croisic,La Baule-Escoublac,46,8,GTFS_TGV
87481754,87481705,La Baule-Escoublac,Saint-Nazaire,46,13,GTFS_TGV
87391003,87571240,Paris Montparnasse,Saint-Pierre-des-Corps,45,62,GTFS_TGV
87753715,87753731,Sénas,Lamanon,45,4,GTFS_TGV
87765446,87765453,Gadagne,Le Thor,45,4,GTFS_TGV
87753764,87753004,Salon-de-Provence,Miramas,45,10,GTFS_TGV
87765453,87765479,Le Thor,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,45,4,GTFS_TGV
87765420,87765438,Morières-lès-Avignon,Saint-Saturnin-lès-Avignon,45,3,GTFS_TGV
87391003,87484006,Paris Montparnasse,Angers Saint-Laud,45,84,GTFS_TGV
87765438,87765446,Saint-Saturnin-lès-Avignon,Gadagne,45,3,GTFS_TGV
87753731,87753764,Lamanon,Salon-de-Provence,45,6,GTFS_TGV
87481754,87481788,La Baule-Escoublac,Le Croisic,45,10,GTFS_TGV
87765008,87765412,Avignon Centre,Montfavet,45,6,GTFS_TGV
87765412,87765420,Montfavet,Morières-lès-Avignon,45,4,GTFS_TGV
87481705,87481754,Saint-Nazaire,La Baule-Escoublac,45,13,GTFS_TGV
87765479,87765503,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Cavaillon,45,7,GTFS_TGV
87765503,87753707,Cavaillon,Orgon,45,5,GTFS_TGV
87753707,87753715,Orgon,Sénas,45,5,GTFS_TGV
87172221,87172213,Vrigne-Meuse,Nouvion-sur-Meuse,44,4,GTFS_TGV
87172189,87172155,Lumes,Mohon,44,4,GTFS_TGV
87757526,87755009,Saint-Raphaël Valescure,Toulon,44,49,GTFS_TGV
87611004,87586008,Toulouse Matabiau,Agen,44,72,GTFS_TGV
87172155,87172007,Mohon,Charleville-Mézières,44,4,GTFS_TGV
87172213,87172189,Nouvion-sur-Meuse,Lumes,44,3,GTFS_TGV
87172239,87172221,Donchery,Vrigne-Meuse,44,3,GTFS_TGV
87171009,87113001,Reims,Paris Est,43,46,GTFS_TGV
87471300,87476606,Redon,Vannes,43,24,GTFS_TGV
87762906,87747006,Lyon Saint-Exupéry TGV,Grenoble,43,64,GTFS_TGV
87396408,87484006,Sablé-sur-Sarthe,Angers Saint-Laud,42,20,GTFS_TGV
87342014,87223263,Arras,Lille Europe,42,23,GTFS_TGV
87765479,87765453,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Le Thor,42,4,GTFS_TGV
87753731,87753715,Lamanon,Sénas,42,4,GTFS_TGV
87753764,87753731,Salon-de-Provence,Lamanon,42,6,GTFS_TGV
87765438,87765420,Saint-Saturnin-lès-Avignon,Morières-lès-Avignon,42,4,GTFS_TGV
87765446,87765438,Gadagne,Saint-Saturnin-lès-Avignon,42,3,GTFS_TGV
87765453,87765446,Le Thor,Gadagne,42,3,GTFS_TGV
87765420,87765412,Morières-lès-Avignon,Montfavet,42,3,GTFS_TGV
87765412,87765008,Montfavet,Avignon Centre,42,8,GTFS_TGV
87753004,87753764,Miramas,Salon-de-Provence,42,10,GTFS_TGV
87765503,87765479,Cavaillon,L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,42,7,GTFS_TGV
87753707,87765503,Orgon,Cavaillon,42,6,GTFS_TGV
87753715,87753707,Sénas,Orgon,42,5,GTFS_TGV
87485300,87575001,Niort,Poitiers,41,43,GTFS_TGV
87571240,87484006,Saint-Pierre-des-Corps,Angers Saint-Laud,40,54,GTFS_TGV
87741306,87742320,Saint-Avre - La Chambre,Saint-Jean-de-Maurienne Arvan,40,9,GTFS_TGV
87742361,87742007,Saint-Michel - Valloire,Modane,40,16,GTFS_TGV
87742320,87742361,Saint-Jean-de-Maurienne Arvan,Saint-Michel - Valloire,40,10,GTFS_TGV
87765107,87765008,Orange,Avignon Centre,39,15,GTFS_TGV
87745000,87686006,Bellegarde-sur-Valserine,Paris Gare de Lyon,39,177,GTFS_TGV
87747006,87762906,Grenoble,Lyon Saint-Exupéry TGV,39,66,GTFS_TGV
87171926,87142109,Champagne-Ardenne TGV,Lorraine TGV,39,38,GTFS_TGV
87745497,87745000,Annemasse,Bellegarde-sur-Valserine,39,40,GTFS_TGV
87485490,87485300,Saint-Maixent-L'École,Niort,39,15,GTFS_TGV
87147322,87141002,Meuse TGV,Nancy,39,35,GTFS_TGV
87300863,87713040,Besançon Franche-Comté TGV,Dijon,38,28,GTFS_TGV
87611244,87586008,Montauban Ville Bourbon,Agen,38,35,GTFS_TGV
87611004,87611244,Toulouse Matabiau,Montauban Ville Bourbon,38,35,GTFS_TGV
