origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87584722,87584052,,12,TRAIN,GTFS,Saint-Sulpice - Izon,Libourne,187,gtfs_stop_times
87683136,87683003,,7,TRAIN,GTFS,Pont-sur-Yonne,Sens,186,gtfs_stop_times
87723197,87763029,,43,TGV,GTFS,Lyon Part Dieu,Valence TGV Rhône-Alpes Sud,186,gtfs_stop_times
87683128,87683102,,5,TRAIN,GTFS,Champigny,Villeneuve-la-Guyard,186,gtfs_stop_times
87683243,87683227,,8,TRAIN,GTFS,Joigny,Saint-Julien-du-Sault,186,gtfs_stop_times
87683136,87683128,,5,TRAIN,GTFS,Pont-sur-Yonne,Champigny,186,gtfs_stop_times
87763029,87723197,,43,TGV,GTFS,Valence TGV Rhône-Alpes Sud,Lyon Part Dieu,186,gtfs_stop_times
87683102,87683128,,5,TRAIN,GTFS,Villeneuve-la-Guyard,Champigny,186,gtfs_stop_times
87683219,87683227,,6,TRAIN,GTFS,Villeneuve-sur-Yonne,Saint-Julien-du-Sault,186,gtfs_stop_times
87683128,87683136,,5,TRAIN,GTFS,Champigny,Pont-sur-Yonne,186,gtfs_stop_times
87683227,87683243,,8,TRAIN,GTFS,Saint-Julien-du-Sault,Joigny,186,gtfs_stop_times
87683003,87683136,,7,TRAIN,GTFS,Sens,Pont-sur-Yonne,186,gtfs_stop_times
87683227,87683219,,6,TRAIN,GTFS,Saint-Julien-du-Sault,Villeneuve-sur-Yonne,186,gtfs_stop_times
87581751,87581009,,7,TRAIN,GTFS,Pessac,Bordeaux Saint-Jean,184,gtfs_stop_times
87581009,87581751,,7,TRAIN,GTFS,Bordeaux Saint-Jean,Pessac,184,gtfs_stop_times
87615286,87781104,,32,TRAIN,GTFS,Carcassonne,Narbonne,183,gtfs_stop_times
87615286,87611004,,47,TRAIN,GTFS,Carcassonne,Toulouse Matabiau,183,gtfs_stop_times
87781104,87615286,,32,TRAIN,GTFS,Narbonne,Carcassonne,183,gtfs_stop_times
87611004,87615286,,47,TRAIN,GTFS,Toulouse Matabiau,Carcassonne,183,gtfs_stop_times
